,Date (Q),Gross Lettings (Room-Nights) (Number),Hotel Room Revenue (Million Dollars),Accommodation (Million Dollars)
0,2023 4Q,4354869.0,1208.2176000000002,4471.0
1,2023 3Q,4752757.0,1422.8675,3338.0
2,2023 2Q,4222449.0,1139.9158,2031.0
3,2023 1Q,3809094.0,1028.2833,1009.0
4,2022 4Q,4106858.0,1168.6922,2963.0
5,2022 3Q,3823483.0,1014.9356,1938.0
6,2022 2Q,3072346.0,696.2208,1046.0
7,2022 1Q,1906958.0,364.1201,500.0
8,2021 4Q,1676257.0,314.702,580.0
9,2021 3Q,1431955.0,218.45940000000002,333.0
10,2021 2Q,1485629.0,218.702,210.0
11,2021 1Q,1416438.0,214.3851,108.0
12,2020 4Q,1610936.0,262.7257,1022.0
13,2020 3Q,1498157.0,167.4641,905.0
14,2020 2Q,1724413.0,126.324,875.0
15,2020 1Q,3142810.0,677.4944,862.0
16,2019 4Q,4888980.0,1112.5442,5529.0
17,2019 3Q,5012416.0,1136.8897,4090.0
18,2019 2Q,4512111.0,951.397,2565.0
19,2019 1Q,4560068.0,994.9458000000001,1256.0
20,2018 4Q,4572114.0,1005.7556999999999,5666.0
21,2018 3Q,4850951.0,1070.7688,4390.0
22,2018 2Q,4481167.0,955.9259000000001,2933.0
23,2018 1Q,4384266.0,962.1668999999999,1436.0
24,2017 4Q,4296324.0,938.3839,6016.0
25,2017 3Q,4499823.0,997.705,4588.0
26,2017 2Q,4144815.0,875.3695,2928.0
27,2017 1Q,4165970.0,904.1951000000001,1525.0
28,2016 4Q,4035235.0,882.0135,5916.0
29,2016 3Q,4264308.0,967.4514,4513.0
30,2016 2Q,3815168.0,833.6616000000001,2748.0
31,2016 1Q,3835474.0,878.3161,1280.0
32,2015 4Q,3859694.0,897.9929000000001,4680.0
33,2015 3Q,3996431.0,937.6993999999999,3514.0
34,2015 2Q,3632767.0,823.6346,2179.0
35,2015 1Q,3601283.0,848.0634,1092.0
36,2014 4Q,3720509.0,891.2853999999999,5309.0
37,2014 3Q,3812415.0,926.2695,4053.0
38,2014 2Q,3564686.0,855.832,2687.0
39,2014 1Q,3514591.0,868.3975,1377.0
40,2013 4Q,3561875.0,858.8009,5332.0
41,2013 3Q,3570121.0,859.9766999999999,3966.0
42,2013 2Q,3412333.0,811.9621999999999,2564.0
43,2013 1Q,3312896.0,789.4064000000001,1283.0
44,2012 4Q,3376775.0,820.5578999999999,5038.0
45,2012 3Q,3335276.0,819.0455,3758.0
46,2012 2Q,3203564.0,777.8205,2491.0
47,2012 1Q,3192968.0,772.5619,1274.0
48,2011 4Q,3219228.0,768.3658,4390.0
49,2011 3Q,3212109.0,765.8768999999999,3228.0
50,2011 2Q,3054064.0,707.1448,2119.0
51,2011 1Q,2979337.0,667.9084,1039.0
52,2010 4Q,3073610.0,659.116,3623.0
53,2010 3Q,2930835.0,630.178,2670.0
54,2010 2Q,2662101.0,539.7903,1686.0
55,2010 1Q,2516514.0,472.47419999999994,757.0
56,2009 4Q,2457712.0,445.96669999999995,2839.0
57,2009 3Q,2273683.0,409.6924,2100.0
58,2009 2Q,1958328.0,353.1953,1387.0
59,2009 1Q,1933435.0,389.0729,724.0
60,2008 4Q,2144136.0,486.0765,3608.0
61,2008 3Q,2137096.0,541.6862,2786.0
62,2008 2Q,2167888.0,542.0318000000001,1819.0
63,2008 1Q,2193603.0,535.6239,902.0
