,Total International Visitor Arrivals By Inbound Tourism Markets,  Southeast Asia,    Brunei Darussalam,    Indonesia,    Malaysia,    Myanmar,    Philippines,    Thailand,    Vietnam,    Other Markets In Southeast Asia,  Greater China,    China,    Hong Kong SAR,    Taiwan,    Other Markets In Greater China,  North Asia,    Japan,    South Korea,    Other Markets In North Asia,  South Asia,    Bangladesh,    India,    Pakistan,    Sri Lanka,    Other Markets In South Asia,  West Asia,    Iran,    Israel,    Kuwait,    Saudi Arabia,    United Arab Emirates,    Other Markets In West Asia,  Americas,    Canada,    USA,    Other Markets In Americas,  Europe,    Belgium & Luxembourg,    Denmark,    Finland,    France,    Germany,    Italy,    Netherlands,    Norway,    Rep Of Ireland,    Russian Federation,    Spain,    Sweden,    Switzerland,    United Kingdom,    Other Markets In Europe,  Oceania,    Australia,    New Zealand,    Other Markets In Oceania,  Africa,    Egypt,    Mauritius,    South Africa (Rep Of),    Other Markets In Africa,  Others
2024 Jun ,1250266.0,450954.0,3711.0,200081.0,83557.0,12154.0,76120.0,25459.0,42326.0,7546.0,277309.0,217652.0,23831.0,34153.0,1673.0,73476.0,33933.0,39495.0,48.0,143127.0,12594.0,120377.0,2020.0,5036.0,3100.0,16006.0,437.0,1138.0,1007.0,3589.0,6516.0,3319.0,75894.0,7987.0,61459.0,6448.0,101853.0,2252.0,1462.0,1610.0,11040.0,14014.0,4907.0,5114.0,2038.0,2108.0,2907.0,4259.0,1984.0,4513.0,28751.0,14894.0,105430.0,88040.0,14713.0,2677.0,5411.0,241.0,283.0,2554.0,2333.0,806.0
2024 May ,1283125.0,431085.0,3857.0,189188.0,95627.0,13356.0,58316.0,32818.0,31214.0,6709.0,276635.0,222333.0,24044.0,28797.0,1461.0,78968.0,39077.0,39825.0,66.0,178226.0,10959.0,156571.0,1309.0,5780.0,3607.0,10769.0,340.0,1303.0,217.0,1384.0,5435.0,2090.0,73521.0,11175.0,54665.0,7681.0,131407.0,2654.0,1738.0,1533.0,15069.0,29869.0,4488.0,7559.0,1213.0,1792.0,3655.0,3710.0,1460.0,6543.0,33218.0,16906.0,95430.0,79609.0,12824.0,2997.0,6648.0,281.0,372.0,1790.0,4205.0,436.0
2024 Apr ,1355667.0,506497.0,4844.0,243906.0,106193.0,15986.0,53182.0,42517.0,30810.0,9059.0,278922.0,220448.0,26453.0,30318.0,1703.0,69922.0,32493.0,37350.0,79.0,128286.0,11707.0,106716.0,956.0,6187.0,2720.0,17480.0,404.0,1457.0,313.0,1954.0,10518.0,2834.0,70353.0,11579.0,50816.0,7958.0,166625.0,3009.0,2432.0,2011.0,17560.0,34531.0,5528.0,7239.0,1793.0,1940.0,5216.0,4115.0,2137.0,8567.0,49290.0,21257.0,112684.0,96897.0,13094.0,2693.0,4858.0,153.0,582.0,1993.0,2130.0,40.0
2024 Mar ,1480533.0,534344.0,4779.0,205034.0,120256.0,15327.0,100405.0,45982.0,35360.0,7201.0,316016.0,247728.0,35786.0,30344.0,2158.0,97062.0,54891.0,42071.0,100.0,113266.0,8616.0,97050.0,824.0,4464.0,2312.0,13597.0,2207.0,1290.0,176.0,812.0,7311.0,1801.0,87882.0,12717.0,66613.0,8552.0,209660.0,2768.0,2977.0,2973.0,14072.0,43617.0,4883.0,6970.0,2430.0,2689.0,5608.0,4765.0,2935.0,7871.0,80078.0,25024.0,103439.0,91553.0,9159.0,2727.0,5201.0,175.0,346.0,2767.0,1913.0,66.0
2024 Feb ,1436579.0,430676.0,4582.0,190758.0,100200.0,10682.0,55668.0,31096.0,31790.0,5900.0,401423.0,326970.0,26507.0,45710.0,2236.0,114637.0,45299.0,69151.0,187.0,83703.0,8792.0,66210.0,1626.0,4111.0,2964.0,11517.0,506.0,1349.0,516.0,2013.0,4982.0,2151.0,82641.0,13313.0,61607.0,7721.0,217609.0,2485.0,3332.0,3293.0,17261.0,50755.0,5107.0,7423.0,2699.0,2391.0,7152.0,3707.0,3190.0,8160.0,69918.0,30736.0,90338.0,79573.0,8138.0,2627.0,3978.0,220.0,292.0,1623.0,1843.0,57.0
2024 Jan ,1436414.0,486204.0,5215.0,268972.0,93387.0,12361.0,46297.0,27222.0,25914.0,6836.0,276921.0,211194.0,23419.0,38460.0,3848.0,117168.0,37694.0,79264.0,210.0,102939.0,10332.0,82118.0,1411.0,5586.0,3492.0,11378.0,409.0,1075.0,955.0,2080.0,4759.0,2100.0,85721.0,13090.0,63260.0,9371.0,206535.0,2366.0,2989.0,3493.0,12980.0,51793.0,5610.0,7785.0,2140.0,2246.0,9466.0,4034.0,3662.0,7639.0,60952.0,29380.0,143387.0,124144.0,14433.0,4810.0,6120.0,279.0,548.0,3213.0,2080.0,41.0
2023 Dec ,1239778.0,495745.0,9281.0,244343.0,102689.0,13146.0,62901.0,30001.0,24681.0,8703.0,176953.0,130207.0,26440.0,17413.0,2893.0,71457.0,32132.0,39202.0,123.0,114979.0,11743.0,92635.0,1629.0,5975.0,2997.0,12732.0,427.0,693.0,512.0,1569.0,7156.0,2375.0,84895.0,11270.0,66745.0,6880.0,145069.0,1969.0,2046.0,1957.0,10021.0,31173.0,4253.0,6890.0,1735.0,1616.0,5550.0,3589.0,2851.0,6817.0,46380.0,18222.0,129004.0,112310.0,12731.0,3963.0,8910.0,188.0,977.0,4245.0,3500.0,34.0
2023 Nov ,1100466.0,418066.0,4799.0,184281.0,93415.0,11774.0,61213.0,26808.0,27484.0,8292.0,150216.0,104347.0,22646.0,21575.0,1648.0,84155.0,41413.0,42614.0,128.0,109957.0,10118.0,90231.0,1404.0,5048.0,3156.0,10698.0,560.0,592.0,269.0,2652.0,5120.0,1505.0,80022.0,13173.0,58807.0,8042.0,141359.0,2469.0,2276.0,2236.0,12002.0,26528.0,4119.0,7110.0,1954.0,2042.0,4695.0,4098.0,2589.0,6817.0,43198.0,19226.0,100963.0,88201.0,9663.0,3099.0,4995.0,269.0,769.0,1789.0,2168.0,35.0
2023 Oct ,1125964.0,434927.0,4390.0,180884.0,88643.0,11360.0,54649.0,53442.0,32730.0,8829.0,177880.0,122765.0,25108.0,28466.0,1541.0,83818.0,38073.0,45621.0,124.0,114672.0,10721.0,94334.0,1484.0,4487.0,3646.0,11379.0,521.0,1029.0,473.0,1764.0,5534.0,2058.0,60726.0,9006.0,44140.0,7580.0,132680.0,2371.0,2636.0,2059.0,13088.0,24581.0,4058.0,7363.0,1776.0,1776.0,3952.0,4717.0,2273.0,7121.0,36194.0,18715.0,104603.0,88033.0,13059.0,3511.0,5233.0,265.0,349.0,1833.0,2786.0,46.0
2023 Sep ,1130762.0,404106.0,4502.0,175603.0,89384.0,10631.0,50679.0,32307.0,34736.0,6264.0,188758.0,135677.0,25848.0,25818.0,1415.0,94298.0,45989.0,48187.0,122.0,100567.0,10240.0,81016.0,1360.0,5156.0,2795.0,13928.0,1009.0,1805.0,521.0,1844.0,6769.0,1980.0,62765.0,8407.0,46605.0,7753.0,137745.0,2850.0,2158.0,1275.0,13476.0,25075.0,6547.0,8584.0,2013.0,2062.0,3333.0,6203.0,1484.0,6079.0,38715.0,17891.0,122983.0,104497.0,15022.0,3464.0,5582.0,272.0,412.0,2323.0,2575.0,30.0
