,Total,Males,Females,Under 15 Years,15-19 Years,20-24 Years,25-34 Years,35-44 Years,45-54 Years,55-64 Years,65 & Over,Not Stated
2024 Jun ,1250266.0,603092.0,646951.0,136467.0,62637.0,89265.0,257147.0,264200.0,196923.0,142048.0,101579.0,0.0
2024 May ,1283125.0,631635.0,651264.0,100716.0,36690.0,77508.0,292546.0,275094.0,203342.0,171764.0,125465.0,0.0
2024 Apr ,1355667.0,656459.0,699107.0,129867.0,42879.0,76475.0,295704.0,280423.0,209734.0,178311.0,142274.0,0.0
2024 Mar ,1480533.0,687538.0,792903.0,100339.0,45455.0,101226.0,363206.0,273214.0,211083.0,204956.0,181054.0,0.0
2024 Feb ,1436579.0,692084.0,744384.0,146319.0,45974.0,87869.0,294411.0,286244.0,213147.0,196204.0,166411.0,0.0
2024 Jan ,1436414.0,685467.0,750859.0,141869.0,55645.0,97787.0,302584.0,285596.0,216583.0,184148.0,152202.0,0.0
2023 Dec ,1239778.0,602556.0,637172.0,148033.0,56081.0,77502.0,245954.0,243613.0,188785.0,153341.0,126469.0,0.0
2023 Nov ,1100466.0,556614.0,543831.0,67096.0,27928.0,60792.0,248015.0,228689.0,179551.0,160082.0,128313.0,0.0
2023 Oct ,1125964.0,563225.0,562723.0,90349.0,33748.0,61067.0,264989.0,242387.0,179280.0,148825.0,105319.0,0.0
2023 Sep ,1130762.0,576699.0,554054.0,76550.0,28350.0,76408.0,287268.0,240842.0,181949.0,144918.0,94477.0,0.0
2023 Aug ,1312693.0,634882.0,677793.0,169313.0,64612.0,99781.0,270916.0,273623.0,208850.0,136666.0,88932.0,0.0
2023 Jul ,1419642.0,681780.0,737855.0,213900.0,87362.0,106091.0,260823.0,289963.0,226377.0,141383.0,93743.0,0.0
2023 Jun ,1129310.0,548258.0,581045.0,127133.0,52133.0,78138.0,238080.0,236955.0,176276.0,128264.0,92331.0,0.0
2023 May ,1112512.0,545031.0,567474.0,86537.0,31588.0,68402.0,265087.0,243768.0,178420.0,139956.0,98754.0,0.0
2023 Apr ,1128610.0,556456.0,572144.0,130720.0,40678.0,62125.0,244148.0,238924.0,174794.0,134080.0,103141.0,0.0
