YearQuarter,Hotel Room Revenue (Thousand Dollars),Standard Average Room Rate (Dollar),  Average Room Rate - Hotel With 100 Rooms And Less (Dollar),  Average Room Rate - Hotel With 101 - 299 Rooms (Dollar),  Average Room Rate - Hotel With 300 Or More Rooms (Dollar),Standard Average Hotel Occupancy Rate (Per Cent),  Average Hotel Occupancy Rate - Hotel With 100 Rooms And Less (Per Cent),  Average Hotel Occupancy Rate - Hotel With 101 - 299 Rooms (Per Cent),  Average Hotel Occupancy Rate - Hotel With 300 Or More Rooms (Per Cent),Gross Lettings (Room-Nights) (Number),Available Room-Nights (Number),Year,Quarter
2008 Q1,178541.3,242.5,105.9,200.1,262.2,83.2,80.6,81.0,83.8,731201.0,878221.3,2008,Q1
2008 Q2,180677.3,247.0,105.6,198.4,268.8,81.8,79.9,79.5,82.5,722629.3,882840.7,2008,Q2
2008 Q3,180562.1,255.2,116.0,210.9,274.0,79.3,74.5,75.4,80.5,712365.3,897285.3,2008,Q3
2008 Q4,162025.5,226.2,108.6,183.2,243.4,77.9,72.6,72.4,79.5,714712.0,918084.0,2008,Q4
2009 Q1,129691.0,201.4,118.1,172.6,213.5,71.2,59.2,64.5,73.9,644478.3,906429.0,2009,Q1
2009 Q2,117731.8,180.4,102.3,152.8,192.7,70.9,61.8,64.7,73.3,652776.0,920963.0,2009,Q2
2009 Q3,136564.1,180.4,102.3,161.0,190.2,77.6,64.1,69.4,81.0,757894.3,976067.0,2009,Q3
2009 Q4,148655.6,181.3,101.8,160.9,191.8,81.9,67.7,77.3,84.4,819237.3,1000013.3,2009,Q4
2010 Q1,157491.4,187.4,98.7,154.1,205.8,82.5,69.7,81.1,84.5,838838.0,1016116.0,2010,Q1
2010 Q2,179930.1,202.6,105.1,169.0,223.6,86.1,76.9,85.9,87.4,887367.0,1030824.3,2010,Q2
2010 Q3,210059.3,214.7,131.6,180.9,232.5,83.4,74.2,84.4,84.3,976945.0,1172245.7,2010,Q3
2010 Q4,219705.3,213.8,125.4,182.2,230.9,84.9,74.9,84.8,86.2,1024536.7,1206477.7,2010,Q4
2011 Q1,222636.1,223.5,125.5,184.6,243.5,83.8,75.4,83.6,84.9,993112.3,1184058.3,2011,Q1
2011 Q2,235714.9,231.5,126.9,196.8,251.5,86.0,80.4,84.5,87.1,1018021.3,1183790.7,2011,Q2
2011 Q3,255292.3,238.6,135.4,199.9,259.2,86.6,77.7,82.7,88.7,1070703.0,1237927.7,2011,Q3
2011 Q4,256121.9,238.7,135.1,201.9,258.8,85.2,74.3,81.7,87.5,1073076.0,1259460.7,2011,Q4
2012 Q1,257520.6,241.8,135.9,197.7,263.8,85.6,75.3,82.2,87.7,1064322.7,1244509.7,2012,Q1
2012 Q2,259273.5,242.8,138.7,204.0,264.8,84.9,75.8,82.9,86.7,1067854.7,1257813.0,2012,Q2
2012 Q3,273015.2,246.0,142.3,212.6,267.0,86.8,78.5,85.0,88.3,1111758.7,1281218.0,2012,Q3
2012 Q4,273519.3,243.0,139.4,215.9,263.0,85.7,77.9,83.5,87.3,1125591.7,1314427.7,2012,Q4
2013 Q1,263135.5,238.3,141.1,209.3,257.0,85.3,73.5,82.1,87.8,1104298.7,1294319.7,2013,Q1
2013 Q2,270654.1,237.9,139.0,202.6,259.3,84.7,73.9,83.4,86.6,1137444.3,1343105.0,2013,Q2
2013 Q3,286658.9,241.2,143.6,204.4,262.4,86.4,74.8,84.7,88.6,1190040.3,1377049.7,2013,Q3
2013 Q4,286267.0,241.0,138.6,211.6,260.6,84.0,70.6,81.8,86.5,1187291.7,1413896.3,2013,Q4
2014 Q1,289465.8,246.9,141.8,214.8,267.2,84.5,69.5,79.8,88.0,1171530.3,1388391.7,2014,Q1
2014 Q2,285277.3,240.1,137.3,207.7,261.6,82.3,69.9,79.3,85.0,1188228.7,1444727.0,2014,Q2
2014 Q3,308756.5,243.4,141.3,210.7,266.0,86.7,71.6,84.7,89.8,1270805.0,1464963.7,2014,Q3
2014 Q4,297095.1,239.6,137.2,210.0,261.5,83.6,70.1,79.8,87.0,1240169.7,1483244.3,2014,Q4
2015 Q1,282687.8,234.9,135.2,204.5,255.8,82.7,66.6,79.8,86.2,1200427.7,1451744.0,2015,Q1
2015 Q2,274544.9,226.7,127.5,193.3,249.9,82.4,72.6,80.4,84.6,1210922.3,1469766.3,2015,Q2
2015 Q3,312566.5,235.0,132.1,203.8,257.7,87.3,78.6,84.3,89.5,1332143.7,1525063.3,2015,Q3
2015 Q4,299331.0,232.4,133.5,203.9,252.7,83.2,72.6,79.6,85.8,1286564.7,1546406.3,2015,Q4
2016 Q1,292772.0,229.1,136.0,202.7,246.9,83.5,68.4,81.1,86.3,1278491.3,1532072.0,2016,Q1
2016 Q2,277887.2,218.3,131.3,190.1,236.9,82.6,72.6,80.0,84.8,1271722.7,1540157.7,2016,Q2
2016 Q3,322483.8,227.3,131.6,193.0,248.9,86.0,76.6,82.7,88.4,1421436.0,1652499.0,2016,Q3
2016 Q4,294004.5,216.9,129.2,180.6,237.9,80.5,69.8,76.6,83.2,1345078.3,1670571.3,2016,Q4
2017 Q1,301398.4,217.1,126.6,187.8,236.2,84.8,72.5,82.0,87.5,1388656.7,1639041.7,2017,Q1
2017 Q2,291789.8,211.2,125.2,187.4,229.2,83.7,73.3,81.8,85.9,1381605.0,1650960.0,2017,Q2
2017 Q3,332568.3,221.5,134.8,188.8,242.0,88.4,77.9,87.2,90.3,1499941.0,1696654.3,2017,Q3
2017 Q4,312794.6,218.4,132.6,189.2,237.0,82.6,70.8,81.3,84.8,1432108.0,1733359.7,2017,Q4
2018 Q1,320722.3,219.5,134.8,196.6,235.6,86.2,72.6,84.4,88.7,1461422.0,1696194.7,2018,Q1
2018 Q2,318642.0,213.2,130.3,191.8,229.1,84.4,74.3,82.4,86.4,1493722.3,1769790.7,2018,Q2
2018 Q3,356922.9,221.0,133.4,197.4,237.7,89.7,79.2,88.0,91.7,1616983.7,1800912.3,2018,Q3
2018 Q4,335251.9,220.0,132.6,197.7,236.3,84.0,72.3,82.2,86.2,1524038.0,1814160.0,2018,Q4
2019 Q1,331648.6,218.3,135.8,194.2,234.1,85.8,72.3,84.2,88.1,1520022.7,1772593.0,2019,Q1
2019 Q2,317132.3,210.7,130.1,186.5,226.9,84.5,73.9,82.9,86.4,1504037.0,1779983.0,2019,Q2
2019 Q3,378963.2,226.4,141.4,204.2,242.4,91.1,81.3,89.8,92.9,1670805.3,1832762.0,2019,Q3
2019 Q4,370848.1,227.2,139.8,214.6,240.4,86.2,72.8,83.7,88.8,1629660.0,1890236.7,2019,Q4
2020 Q1,225831.5,208.7,136.3,194.8,222.4,57.4,53.9,57.0,58.0,1047603.3,1799226.0,2020,Q1
2020 Q2,42108.0,72.7,58.3,78.7,73.7,52.2,49.6,47.5,54.5,574804.3,1142488.3,2020,Q2
2020 Q3,55821.4,110.0,68.7,144.2,110.1,64.8,65.0,63.0,65.6,499385.7,772461.3,2020,Q3
2020 Q4,87575.2,161.6,89.0,223.4,162.3,57.9,60.2,54.9,58.4,536978.7,924984.0,2020,Q4
2021 Q1,71461.7,151.3,80.1,188.9,159.6,46.6,49.7,44.8,46.4,472146.0,1010404.3,2021,Q1
2021 Q2,72900.7,146.6,75.8,182.2,157.8,53.4,56.9,48.0,54.2,495209.7,928041.7,2021,Q2
