YearQuarter,Total,Males,Females,Under 15 Years,15-19 Years,20-24 Years,25-34 Years,35-44 Years,45-54 Years,55-64 Years,65 & Over,Not Stated,Year,Quarter
2008 Q1,869651.0,457696.7,359251.0,56344.0,26598.3,62239.7,198232.0,193088.0,158369.3,109551.0,62958.0,2270.7,2008,Q1
2008 Q2,828665.3,446213.3,338698.0,57111.3,24999.7,57534.7,195979.7,189976.7,151974.0,99329.0,49850.0,1910.3,2008,Q2
2008 Q3,839459.7,447148.3,353433.3,70729.3,34310.0,70814.3,201455.0,188059.0,146124.3,87019.7,39214.3,1733.7,2008,Q3
2008 Q4,834242.0,440382.7,351564.0,61380.3,34501.0,62401.3,196961.0,179340.3,147422.7,99487.7,51145.0,1602.7,2008,Q4
2009 Q1,751103.0,395602.7,323497.0,47084.0,23198.3,54344.0,170857.0,160085.3,134687.0,99678.3,59485.0,1684.0,2009,Q1
2009 Q2,751923.3,398507.7,325988.3,59019.7,23668.0,52330.0,176543.0,165212.3,134405.0,91465.0,47719.0,1561.3,2009,Q2
2009 Q3,842084.0,440212.3,371662.0,73246.7,33164.0,69274.7,198787.0,182593.0,148870.7,92257.7,41938.0,1952.3,2009,Q3
2009 Q4,882453.0,459392.3,384091.7,66881.7,30566.3,63595.3,206027.7,187039.0,157723.0,110148.0,58750.3,1721.7,2009,Q4
2010 Q1,898261.7,467543.0,391811.7,60873.0,26174.3,62654.7,202903.3,192610.7,162833.3,118900.7,68962.7,2349.0,2010,Q1
2010 Q2,945573.7,493051.0,416495.0,78689.3,31344.7,60882.0,216766.3,212363.0,169487.0,114654.0,59064.3,2323.0,2010,Q2
2010 Q3,1013177.0,520631.7,452347.0,99191.0,43429.3,77610.7,228952.7,220174.0,178525.3,110828.0,52419.3,2046.7,2010,Q3
2010 Q4,1023554.7,528467.3,449681.0,84692.0,36541.7,70076.3,233144.7,221117.3,183418.7,127600.0,65189.0,1775.0,2010,Q4
2011 Q1,1039356.0,537673.7,463122.3,74215.3,31748.7,70275.3,233735.0,224157.3,185979.0,136896.3,80146.3,2202.7,2011,Q1
2011 Q2,1079163.3,554956.3,485258.3,94858.3,37245.0,68044.3,244639.0,238487.0,191502.0,132857.0,69325.0,2205.7,2011,Q2
2011 Q3,1162042.7,584948.7,530866.7,117216.7,49818.0,89871.0,265244.0,252849.7,200085.7,125465.3,59050.7,2441.7,2011,Q3
2011 Q4,1109872.3,570390.7,494093.0,90792.3,41288.7,77076.0,257791.3,236405.7,195902.7,137516.3,71008.7,2090.7,2011,Q4
2012 Q1,1192064.7,602376.3,534713.7,86412.7,36489.3,81568.7,268823.3,250288.7,210885.3,159118.7,95922.0,2556.0,2012,Q1
2012 Q2,1168713.3,591274.3,526310.7,96373.3,38913.7,75558.7,265781.3,251245.0,205792.7,150804.0,81687.7,2557.0,2012,Q2
2012 Q3,1216187.7,635661.7,580199.0,121042.7,52712.3,94924.3,278829.0,262039.3,208281.0,133912.3,63273.3,1173.3,2012,Q3
2012 Q4,1255065.0,661145.3,593768.3,102647.7,43450.3,86039.3,287911.3,260198.7,220008.7,165196.7,87467.0,2145.3,2012,Q4
2013 Q1,1293991.3,676794.3,616432.7,104147.7,39986.0,89520.3,284582.3,266893.0,226621.0,174487.7,106029.7,1723.7,2013,Q1
2013 Q2,1283826.0,667512.0,615532.0,110007.0,39933.7,79857.7,288884.3,271288.0,224515.3,172165.7,94585.0,2589.3,2013,Q2
2013 Q3,1359773.0,699978.0,659695.3,147367.3,57526.3,105568.7,304910.7,289738.0,227121.7,150476.3,75114.3,1949.7,2013,Q3
